default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex
0,< 0 INR,6,critical account/ other credits existing (not at this bank),radio/television,93600,... < 5000 INR,unemployed,4,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),education,102900,... < 5000 INR,1 <= ... < 4 years,4,male : divorced/separated
0,< 0 INR,9,existing credits paid back duly till now,radio/television,106800,... < 5000 INR,1 <= ... < 4 years,3,male : single
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,74200,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed
0,no checking account,6,existing credits paid back duly till now,education,33000,25000 <= ... < 50000 INR ,4 <= ... < 7 years,2,male : married/widowed
0,no checking account,24,critical account/ other credits existing (not at this bank),car (new),64350,.. >= 50000 INR ,.. >= 7 years,4,female : divorced/separated/married
0,< 0 INR,42,critical account/ other credits existing (not at this bank),education,169700,... < 5000 INR,unemployed,4,male : single
1,>= 10000 INR / salary assignments for at least 1 year,12,all credits at this bank paid back duly,business,30450,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,12,existing credits paid back duly till now,car (new),94200,... < 5000 INR,.. >= 7 years,4,male : single
0,< 0 INR,12,existing credits paid back duly till now,radio/television,81000,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,0 <= ... < 10000 INR,20,delay in paying off in the past,furniture/equipment,131450,... < 5000 INR,1 <= ... < 4 years,2,male : single
1,no checking account,12,existing credits paid back duly till now,(vacation - does not exist?),35950,... < 5000 INR,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,48,critical account/ other credits existing (not at this bank),radio/television,254800,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,no checking account,9,critical account/ other credits existing (not at this bank),(vacation - does not exist?),62200,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married
1,< 0 INR,36,existing credits paid back duly till now,car (new),92100,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,7,existing credits paid back duly till now,domestic appliances,128800,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,>= 10000 INR / salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,71200,unknown/ no savings account,.. >= 7 years,3,female : divorced/separated/married
1,0 <= ... < 10000 INR,15,delay in paying off in the past,education,75600,.. >= 50000 INR ,1 <= ... < 4 years,3,male : married/widowed
0,no checking account,36,critical account/ other credits existing (not at this bank),car (used),552700,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,no checking account,6,existing credits paid back duly till now,domestic appliances,25900,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,no checking account,12,no credits taken/ all credits paid back duly,radio/television,137950,... < 5000 INR,.. >= 7 years,2,male : single
0,no checking account,24,existing credits paid back duly till now,car (used),133500,... < 5000 INR,.. >= 7 years,4,male : single
1,< 0 INR,24,existing credits paid back duly till now,car (new),240850,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,no checking account,24,existing credits paid back duly till now,car (used),133950,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,< 0 INR,11,critical account/ other credits existing (not at this bank),car (new),195250,... < 5000 INR,1 <= ... < 4 years,2,male : single
1,< 0 INR,12,existing credits paid back duly till now,car (used),169300,... < 5000 INR,.. >= 7 years,3,male : single
0,< 0 INR,6,existing credits paid back duly till now,repairs,17150,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,18,existing credits paid back duly till now,domestic appliances,229700,... < 5000 INR,... < 1 year ,3,male : single
0,< 0 INR,36,existing credits paid back duly till now,radio/television,181000,... < 5000 INR,1 <= ... < 4 years,1,male : single
0,< 0 INR,15,existing credits paid back duly till now,car (new),86050,... < 5000 INR,... < 1 year ,2,male : single
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,radio/television,150850,... < 5000 INR,... < 1 year ,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,retraining,37700,unknown/ no savings account,.. >= 7 years,4,male : single
0,no checking account,18,existing credits paid back duly till now,business,97500,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,< 0 INR,24,existing credits paid back duly till now,car (used),146200,... < 5000 INR,1 <= ... < 4 years,3,male : single
1,< 0 INR,24,delay in paying off in the past,domestic appliances,82950,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,48,delay in paying off in the past,domestic appliances,361900,unknown/ no savings account,.. >= 7 years,3,male : single
0,no checking account,33,delay in paying off in the past,business,138200,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,no checking account,24,delay in paying off in the past,car (used),233950,... < 5000 INR,4 <= ... < 7 years,3,male : single
1,0 <= ... < 10000 INR,24,existing credits paid back duly till now,domestic appliances,154600,5000 <= ... < 25000 INR,... < 1 year ,3,male : married/widowed
1,< 0 INR,6,existing credits paid back duly till now,(vacation - does not exist?),22400,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
1,< 0 INR,9,existing credits paid back duly till now,car (new),32700,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,6,existing credits paid back duly till now,retraining,61900,unknown/ no savings account,unemployed,4,male : single
1,0 <= ... < 10000 INR,18,critical account/ other credits existing (not at this bank),domestic appliances,62250,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
1,< 0 INR,18,no credits taken/ all credits paid back duly,radio/television,155700,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
0,no checking account,39,existing credits paid back duly till now,car (used),128450,25000 <= ... < 50000 INR ,1 <= ... < 4 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,24,existing credits paid back duly till now,domestic appliances,257600,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,business,51850,5000 <= ... < 25000 INR,4 <= ... < 7 years,3,male : single
0,< 0 INR,15,critical account/ other credits existing (not at this bank),radio/television,73900,... < 5000 INR,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,12,critical account/ other credits existing (not at this bank),domestic appliances,178650,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
0,0 <= ... < 10000 INR,24,existing credits paid back duly till now,car (new),60050,... < 5000 INR,... < 1 year ,4,male : single
0,< 0 INR,30,existing credits paid back duly till now,radio/television,181100,.. >= 50000 INR ,.. >= 7 years,4,female : divorced/separated/married
0,no checking account,15,delay in paying off in the past,radio/television,48000,.. >= 50000 INR ,4 <= ... < 7 years,3,female : divorced/separated/married
0,no checking account,12,critical account/ other credits existing (not at this bank),car (new),58150,25000 <= ... < 50000 INR ,1 <= ... < 4 years,4,male : single
1,0 <= ... < 10000 INR,6,delay in paying off in the past,car (new),60450,... < 5000 INR,unemployed,4,male : single
0,no checking account,12,existing credits paid back duly till now,domestic appliances,153850,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,24,existing credits paid back duly till now,car (new),187850,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
0,no checking account,10,existing credits paid back duly till now,car (new),70900,5000 <= ... < 25000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,6,existing credits paid back duly till now,car (new),175900,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,96700,... < 5000 INR,.. >= 7 years,2,male : single
1,0 <= ... < 10000 INR,27,no credits taken/ all credits paid back duly,business,415900,... < 5000 INR,.. >= 7 years,2,female : divorced/separated/married
0,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,61850,5000 <= ... < 25000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
0,0 <= ... < 10000 INR,6,existing credits paid back duly till now,domestic appliances,18400,unknown/ no savings account,.. >= 7 years,4,male : single
0,< 0 INR,12,critical account/ other credits existing (not at this bank),car (new),106100,... < 5000 INR,1 <= ... < 4 years,3,male : single
1,< 0 INR,24,existing credits paid back duly till now,radio/television,149800,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed
1,0 <= ... < 10000 INR,36,existing credits paid back duly till now,radio/television,451700,5000 <= ... < 25000 INR,... < 1 year ,4,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,79250,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,domestic appliances,65050,... < 5000 INR,.. >= 7 years,4,male : married/widowed
0,>= 10000 INR / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),66150,5000 <= ... < 25000 INR,.. >= 7 years,2,male : divorced/separated
1,< 0 INR,24,existing credits paid back duly till now,car (new),156150,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,< 0 INR,36,existing credits paid back duly till now,car (used),274650,... < 5000 INR,.. >= 7 years,2,male : single
0,>= 10000 INR / salary assignments for at least 1 year,9,existing credits paid back duly till now,domestic appliances,56300,5000 <= ... < 25000 INR,.. >= 7 years,2,male : divorced/separated
1,0 <= ... < 10000 INR,24,critical account/ other credits existing (not at this bank),domestic appliances,60800,5000 <= ... < 25000 INR,... < 1 year ,4,male : single
1,< 0 INR,24,existing credits paid back duly till now,car (new),60350,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
1,no checking account,10,existing credits paid back duly till now,car (new),65450,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,15,critical account/ other credits existing (not at this bank),car (used),118000,25000 <= ... < 50000 INR ,1 <= ... < 4 years,2,male : single
1,0 <= ... < 10000 INR,15,all credits at this bank paid back duly,car (new),342500,5000 <= ... < 25000 INR,unemployed,1,male : single
0,no checking account,24,existing credits paid back duly till now,domestic appliances,70650,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
0,no checking account,39,existing credits paid back duly till now,car (used),429400,5000 <= ... < 25000 INR,.. >= 7 years,4,male : single
1,< 0 INR,12,existing credits paid back duly till now,car (new),37950,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,36,existing credits paid back duly till now,car (used),234300,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,>= 10000 INR / salary assignments for at least 1 year,15,existing credits paid back duly till now,business,134350,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,0 <= ... < 10000 INR,12,delay in paying off in the past,domestic appliances,29250,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
0,no checking account,24,existing credits paid back duly till now,car (new),112750,unknown/ no savings account,... < 1 year ,4,male : single
0,< 0 INR,6,critical account/ other credits existing (not at this bank),car (new),30450,... < 5000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
0,< 0 INR,6,critical account/ other credits existing (not at this bank),car (new),68050,... < 5000 INR,... < 1 year ,2,male : single
1,no checking account,36,critical account/ other credits existing (not at this bank),radio/television,356350,... < 5000 INR,... < 1 year ,2,female : divorced/separated/married
0,< 0 INR,6,existing credits paid back duly till now,car (new),60150,5000 <= ... < 25000 INR,.. >= 7 years,3,male : single
0,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,35000,unknown/ no savings account,.. >= 7 years,4,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),education,275350,... < 5000 INR,.. >= 7 years,3,male : single
1,< 0 INR,18,existing credits paid back duly till now,domestic appliances,159500,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
1,< 0 INR,48,no credits taken/ all credits paid back duly,radio/television,355950,... < 5000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,24,existing credits paid back duly till now,car (used),174400,5000 <= ... < 25000 INR,4 <= ... < 7 years,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,18,existing credits paid back duly till now,domestic appliances,55650,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,26,existing credits paid back duly till now,car (used),398300,... < 5000 INR,... < 1 year ,2,male : single
0,no checking account,15,critical account/ other credits existing (not at this bank),(vacation - does not exist?),76600,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,4,critical account/ other credits existing (not at this bank),domestic appliances,75150,... < 5000 INR,4 <= ... < 7 years,2,male : single
1,< 0 INR,36,existing credits paid back duly till now,domestic appliances,115100,... < 5000 INR,1 <= ... < 4 years,4,male : divorced/separated
0,< 0 INR,6,existing credits paid back duly till now,car (new),33100,... < 5000 INR,... < 1 year ,3,male : single
0,0 <= ... < 10000 INR,36,existing credits paid back duly till now,(vacation - does not exist?),113650,... < 5000 INR,4 <= ... < 7 years,3,male : single
1,0 <= ... < 10000 INR,15,existing credits paid back duly till now,car (new),131550,5000 <= ... < 25000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,no checking account,12,delay in paying off in the past,car (used),75150,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
0,no checking account,24,existing credits paid back duly till now,domestic appliances,65550,5000 <= ... < 25000 INR,4 <= ... < 7 years,4,male : married/widowed
0,no checking account,24,existing credits paid back duly till now,domestic appliances,155250,unknown/ no savings account,... < 1 year ,4,male : single
1,>= 10000 INR / salary assignments for at least 1 year,21,critical account/ other credits existing (not at this bank),(vacation - does not exist?),115950,... < 5000 INR,... < 1 year ,2,male : divorced/separated
0,< 0 INR,6,existing credits paid back duly till now,car (new),68700,unknown/ no savings account,unemployed,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,18,critical account/ other credits existing (not at this bank),radio/television,180600,... < 5000 INR,.. >= 7 years,3,female : divorced/separated/married
1,< 0 INR,48,existing credits paid back duly till now,car (new),388150,... < 5000 INR,.. >= 7 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,152450,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,76700,... < 5000 INR,... < 1 year ,1,male : married/widowed
0,no checking account,24,delay in paying off in the past,car (new),101600,... < 5000 INR,.. >= 7 years,4,male : single
1,< 0 INR,30,existing credits paid back duly till now,radio/television,317500,unknown/ no savings account,.. >= 7 years,4,male : single
1,>= 10000 INR / salary assignments for at least 1 year,18,existing credits paid back duly till now,radio/television,143200,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),car (new),62750,... < 5000 INR,.. >= 7 years,4,male : single
1,< 0 INR,24,delay in paying off in the past,car (new),66650,... < 5000 INR,unemployed,4,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),car (new),101100,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,24,existing credits paid back duly till now,domestic appliances,77600,... < 5000 INR,4 <= ... < 7 years,3,male : single
1,< 0 INR,12,all credits at this bank paid back duly,domestic appliances,31300,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,48,critical account/ other credits existing (not at this bank),car (used),442900,unknown/ no savings account,4 <= ... < 7 years,2,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),education,49800,unknown/ no savings account,4 <= ... < 7 years,4,female : divorced/separated/married
0,no checking account,6,all credits at this bank paid back duly,domestic appliances,87500,25000 <= ... < 50000 INR ,.. >= 7 years,2,male : single
1,< 0 INR,48,existing credits paid back duly till now,domestic appliances,349950,... < 5000 INR,4 <= ... < 7 years,1,male : married/widowed
0,0 <= ... < 10000 INR,12,critical account/ other credits existing (not at this bank),car (new),99750,5000 <= ... < 25000 INR,... < 1 year ,4,male : single
0,0 <= ... < 10000 INR,9,existing credits paid back duly till now,(vacation - does not exist?),59950,... < 5000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,66550,... < 5000 INR,... < 1 year ,2,male : single
1,0 <= ... < 10000 INR,18,no credits taken/ all credits paid back duly,car (new),113900,5000 <= ... < 25000 INR,... < 1 year ,3,female : divorced/separated/married
1,no checking account,21,no credits taken/ all credits paid back duly,car (new),250150,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married
1,< 0 INR,24,all credits at this bank paid back duly,radio/television,177600,... < 5000 INR,4 <= ... < 7 years,3,male : single
1,0 <= ... < 10000 INR,18,critical account/ other credits existing (not at this bank),radio/television,96400,... < 5000 INR,... < 1 year ,2,male : single
0,< 0 INR,24,existing credits paid back duly till now,car (used),148200,unknown/ no savings account,.. >= 7 years,4,male : single
1,< 0 INR,24,all credits at this bank paid back duly,domestic appliances,77300,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,6,delay in paying off in the past,domestic appliances,34150,... < 5000 INR,... < 1 year ,2,female : divorced/separated/married
1,0 <= ... < 10000 INR,36,existing credits paid back duly till now,car (new),619450,unknown/ no savings account,1 <= ... < 4 years,1,male : single
0,0 <= ... < 10000 INR,24,delay in paying off in the past,business,235600,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,0 <= ... < 10000 INR,24,delay in paying off in the past,domestic appliances,77650,5000 <= ... < 25000 INR,4 <= ... < 7 years,3,female : divorced/separated/married
1,< 0 INR,12,existing credits paid back duly till now,car (new),68600,... < 5000 INR,4 <= ... < 7 years,2,male : divorced/separated
0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,128900,.. >= 50000 INR ,.. >= 7 years,2,male : single
0,0 <= ... < 10000 INR,48,existing credits paid back duly till now,domestic appliances,198950,unknown/ no savings account,4 <= ... < 7 years,4,male : single
1,< 0 INR,48,existing credits paid back duly till now,domestic appliances,337900,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
1,< 0 INR,24,existing credits paid back duly till now,radio/television,161700,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,30,critical account/ other credits existing (not at this bank),domestic appliances,297700,... < 5000 INR,4 <= ... < 7 years,3,male : single
0,no checking account,24,existing credits paid back duly till now,car (used),271650,unknown/ no savings account,unemployed,2,female : divorced/separated/married
0,< 0 INR,15,existing credits paid back duly till now,business,40300,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,9,existing credits paid back duly till now,domestic appliances,54100,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,15,critical account/ other credits existing (not at this bank),radio/television,139400,... < 5000 INR,4 <= ... < 7 years,2,female : divorced/separated/married
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,domestic appliances,146500,... < 5000 INR,4 <= ... < 7 years,2,female : divorced/separated/married
0,no checking account,24,critical account/ other credits existing (not at this bank),(vacation - does not exist?),96350,unknown/ no savings account,1 <= ... < 4 years,3,female : divorced/separated/married
1,0 <= ... < 10000 INR,36,critical account/ other credits existing (not at this bank),car (new),141000,... < 5000 INR,... < 1 year ,4,male : divorced/separated
0,no checking account,24,existing credits paid back duly till now,retraining,46850,... < 5000 INR,... < 1 year ,4,male : married/widowed
1,0 <= ... < 10000 INR,18,critical account/ other credits existing (not at this bank),car (new),52800,... < 5000 INR,.. >= 7 years,3,male : single
0,0 <= ... < 10000 INR,12,critical account/ other credits existing (not at this bank),car (new),156200,... < 5000 INR,... < 1 year ,1,male : single
0,no checking account,9,existing credits paid back duly till now,radio/television,69400,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,36,existing credits paid back duly till now,education,119200,... < 5000 INR,... < 1 year ,4,male : single
0,no checking account,12,existing credits paid back duly till now,car (new),106650,unknown/ no savings account,.. >= 7 years,4,female : divorced/separated/married
1,< 0 INR,18,existing credits paid back duly till now,radio/television,101950,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
0,< 0 INR,9,critical account/ other credits existing (not at this bank),car (new),139950,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,< 0 INR,12,existing credits paid back duly till now,radio/television,64450,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,< 0 INR,18,existing credits paid back duly till now,repairs,60850,... < 5000 INR,1 <= ... < 4 years,4,male : married/widowed
1,< 0 INR,12,critical account/ other credits existing (not at this bank),radio/television,112300,... < 5000 INR,.. >= 7 years,3,male : single
0,< 0 INR,12,critical account/ other credits existing (not at this bank),domestic appliances,19250,... < 5000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,24,delay in paying off in the past,car (new),98250,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,21,existing credits paid back duly till now,business,78600,.. >= 50000 INR ,.. >= 7 years,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,24,existing credits paid back duly till now,car (new),135900,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
1,< 0 INR,24,all credits at this bank paid back duly,furniture/equipment,67900,unknown/ no savings account,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,6,all credits at this bank paid back duly,car (new),46550,5000 <= ... < 25000 INR,... < 1 year ,1,female : divorced/separated/married
1,< 0 INR,24,existing credits paid back duly till now,car (new),72100,... < 5000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,24,no credits taken/ all credits paid back duly,business,212050,... < 5000 INR,1 <= ... < 4 years,1,male : single
1,no checking account,18,critical account/ other credits existing (not at this bank),car (new),138750,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,no checking account,24,delay in paying off in the past,business,193150,... < 5000 INR,1 <= ... < 4 years,1,male : single
0,0 <= ... < 10000 INR,7,existing credits paid back duly till now,domestic appliances,116450,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
1,0 <= ... < 10000 INR,9,existing credits paid back duly till now,radio/television,45900,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,24,all credits at this bank paid back duly,(vacation - does not exist?),91850,... < 5000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
1,no checking account,36,existing credits paid back duly till now,radio/television,167450,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,10,existing credits paid back duly till now,radio/television,63750,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,< 0 INR,24,all credits at this bank paid back duly,radio/television,141400,25000 <= ... < 50000 INR ,1 <= ... < 4 years,4,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),business,226300,... < 5000 INR,1 <= ... < 4 years,3,male : single
1,0 <= ... < 10000 INR,36,existing credits paid back duly till now,domestic appliances,133550,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,18,existing credits paid back duly till now,domestic appliances,102550,... < 5000 INR,... < 1 year ,4,male : single
0,no checking account,15,existing credits paid back duly till now,car (used),65000,unknown/ no savings account,.. >= 7 years,4,male : single
1,< 0 INR,12,existing credits paid back duly till now,repairs,37050,5000 <= ... < 25000 INR,unemployed,4,female : divorced/separated/married
1,>= 10000 INR / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),62000,5000 <= ... < 25000 INR,.. >= 7 years,1,female : divorced/separated/married
0,< 0 INR,21,existing credits paid back duly till now,domestic appliances,167850,.. >= 50000 INR ,... < 1 year ,4,female : divorced/separated/married
0,< 0 INR,24,all credits at this bank paid back duly,car (used),181600,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
1,no checking account,18,delay in paying off in the past,radio/television,90400,... < 5000 INR,4 <= ... < 7 years,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,48,no credits taken/ all credits paid back duly,business,610200,unknown/ no savings account,1 <= ... < 4 years,2,male : single
0,0 <= ... < 10000 INR,60,delay in paying off in the past,domestic appliances,457850,unknown/ no savings account,1 <= ... < 4 years,2,male : single
0,< 0 INR,6,critical account/ other credits existing (not at this bank),car (new),183800,... < 5000 INR,1 <= ... < 4 years,1,male : single
1,0 <= ... < 10000 INR,30,existing credits paid back duly till now,radio/television,172050,5000 <= ... < 25000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,no checking account,12,existing credits paid back duly till now,car (new),32000,... < 5000 INR,1 <= ... < 4 years,4,male : divorced/separated
0,0 <= ... < 10000 INR,21,critical account/ other credits existing (not at this bank),business,182600,... < 5000 INR,4 <= ... < 7 years,2,male : single
1,no checking account,18,critical account/ other credits existing (not at this bank),car (new),76500,... < 5000 INR,1 <= ... < 4 years,3,male : single
1,no checking account,48,existing credits paid back duly till now,business,195700,unknown/ no savings account,1 <= ... < 4 years,4,male : divorced/separated
0,< 0 INR,12,existing credits paid back duly till now,radio/television,92900,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
1,< 0 INR,18,existing credits paid back duly till now,domestic appliances,130000,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,15,existing credits paid back duly till now,domestic appliances,98950,unknown/ no savings account,.. >= 7 years,4,male : single
0,>= 10000 INR / salary assignments for at least 1 year,6,existing credits paid back duly till now,radio/television,105800,... < 5000 INR,1 <= ... < 4 years,2,male : single
1,0 <= ... < 10000 INR,9,all credits at this bank paid back duly,car (new),71850,5000 <= ... < 25000 INR,4 <= ... < 7 years,2,male : single
0,no checking account,42,critical account/ other credits existing (not at this bank),radio/television,202100,25000 <= ... < 50000 INR ,1 <= ... < 4 years,4,male : single
0,no checking account,9,existing credits paid back duly till now,(vacation - does not exist?),191600,unknown/ no savings account,.. >= 7 years,1,male : single
0,< 0 INR,24,existing credits paid back duly till now,domestic appliances,183000,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
1,< 0 INR,18,all credits at this bank paid back duly,radio/television,77650,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,0 <= ... < 10000 INR,15,existing credits paid back duly till now,domestic appliances,72200,unknown/ no savings account,... < 1 year ,4,male : single
1,no checking account,9,existing credits paid back duly till now,radio/television,99000,... < 5000 INR,... < 1 year ,2,female : divorced/separated/married
1,0 <= ... < 10000 INR,24,existing credits paid back duly till now,car (new),67750,... < 5000 INR,... < 1 year ,3,female : divorced/separated/married
0,no checking account,12,existing credits paid back duly till now,(vacation - does not exist?),69650,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,24,existing credits paid back duly till now,domestic appliances,68800,25000 <= ... < 50000 INR ,4 <= ... < 7 years,4,female : divorced/separated/married
0,no checking account,60,delay in paying off in the past,domestic appliances,782650,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,no checking account,12,existing credits paid back duly till now,domestic appliances,74650,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
1,< 0 INR,42,delay in paying off in the past,domestic appliances,218500,... < 5000 INR,4 <= ... < 7 years,3,male : single
1,< 0 INR,18,existing credits paid back duly till now,(vacation - does not exist?),37500,... < 5000 INR,unemployed,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,15,existing credits paid back duly till now,education,65400,... < 5000 INR,.. >= 7 years,4,male : single
1,no checking account,15,existing credits paid back duly till now,(vacation - does not exist?),231150,5000 <= ... < 25000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,92550,... < 5000 INR,4 <= ... < 7 years,4,male : married/widowed
0,< 0 INR,18,critical account/ other credits existing (not at this bank),domestic appliances,94000,... < 5000 INR,4 <= ... < 7 years,4,male : married/widowed
1,no checking account,36,delay in paying off in the past,business,399000,unknown/ no savings account,... < 1 year ,4,male : single
0,< 0 INR,30,no credits taken/ all credits paid back duly,radio/television,229150,... < 5000 INR,1 <= ... < 4 years,2,male : divorced/separated
1,no checking account,12,existing credits paid back duly till now,car (new),69300,25000 <= ... < 50000 INR ,1 <= ... < 4 years,2,female : divorced/separated/married
1,>= 10000 INR / salary assignments for at least 1 year,24,existing credits paid back duly till now,car (new),47350,... < 5000 INR,4 <= ... < 7 years,4,male : single
